계약자가 동의하지 않는 경우, 자동갱신은 계약 만료 후 적용되지 않습니다.	Automatic renewal will not apply after the contract expires unless the parties agree to it.
임대인은 계약 만료 전에 임차인이 자동 갱신 동의를 하지 않으면 계약을 종료할 수 있습니다.	The landlord may terminate the lease before its expiration if the tenant does not agree to automatic renewal.
계약자가 계약 만료 시점에 자동 갱신을 거절하면, 이는 즉시 효력이 발생합니다.	If the party rejects automatic renewal at the time of contract expiration, this rejection takes immediate effect.
계약자가 자동 갱신에 동의하지 않더라도 계약 만료 후에도 사용할 수 있는 시설은 계속 유지됩니다.	Even if the party does not agree to automatic renewal, facilities that could be used after contract expiration may continue to be maintained.
계약자가 계약 만료 시점에서 자동 갱신에 동의하지 않는다면, 이는 즉시 효력이 발생합니다.	If the party disagrees with automatic renewal at the time of contract expiration, this disagreement takes immediate effect.
계약자가 자동 갱신을 거부하면, 이는 즉시 효력이 발생하며 계약 만료 후에도 변하지 않습니다.	If the party rejects automatic renewal, this rejection becomes effective immediately and remains unchanged after contract expiration.
계약자가 계약 만료 후에도 사용할 수 있는 시설이 필요하다면, 이는 자동 갱신 옵션을 통해 가능합니다.	If facilities are needed after contract expiration, this can be possible through an automatic renewal option.
계약자가 자동 갱신에 동의하지 않는다면, 이는 즉시 효력이 발생하며 계약 만료 후에도 변하지 않습니다.	If the party disagrees with automatic renewal, this disagreement becomes effective immediately and remains unchanged after contract expiration.
계약자가 계약 만료 후에도 사용 가능한 시설이 필요하다면, 이는 자동 갱신 옵션을 통해 가능합니다.	If facilities are needed after contract expiration, this can be possible through an automatic renewal option.
임대 계약이 중도에 해지된 경우, 임차인은 반환해야 할 물건의 상태가 그 때보다 나쁘다면 손해배상 책임을 부담합니다.	If a lease agreement is terminated midway, the tenant shall bear liability for damages if the condition of the returned property is worse than at that time.
임차인이 계약 해지를 통보한 후, 임대인은 적절한 시간 내에 재임대가 불가능하다는 증거를 제시해야 합니다.	After the tenant has been notified of contract termination, the landlord must present evidence that re-letting is not possible within a reasonable time.
임차인이 계약을 중도로 해지하고자 하는 경우, 임대인에게 적절한 사유와 함께 해지를 통보해야 합니다.	If a tenant wishes to terminate the contract midway, they must notify the landlord of an appropriate reason for termination.
임대인이 계약을 해지하는 이유로 손해배상청구를 할 수 있는 경우, 임차인은 그 사실에 대해 알게 된 날로부터 3개월 이내에 소송을 제기해야 합니다.	If the landlord can claim damages for contract termination, the tenant must file a lawsuit within three months of becoming aware of the fact.
임대인이 계약을 중도로 해지한 경우, 임차인은 임대인에게 손해배상청구를 할 수 있습니다.	If the landlord terminates the contract midway, the tenant can claim damages from the landlord.
